with date dimension: 9
with total data point: 4177
file:./datasets/abalone.txt opened!
finished!
0.25
begin training...
 : : initial loss:  109.071
iters: 0  loss: 16.7047
iters: 1  loss: 8.59364
iters: 2  loss: 6.73953
iters: 3  loss: 4.96875
iters: 4  loss: 4.90836
iters: 5  loss: 4.89409
iters: 6  loss: 4.88861
iters: 7  loss: 4.88425
iters: 8  loss: 4.88417
iters: 9  loss: 4.88323
iters: 10  loss: 4.88321
iters: 11  loss: 4.88321
iters: 12  loss: 4.88321
iters: 13  loss: 4.88321
iters: 14  loss: 4.88321
iters: 15  loss: 4.88321
iters: 16  loss: 4.88321
iters: 17  loss: 4.88321
iters: 18  loss: 4.88321
iters: 19  loss: 4.88321
iters: 20  loss: 4.88321
iters: 21  loss: 4.88321
iters: 22  loss: 4.88321
iters: 23  loss: 4.88321
iters: 24  loss: 4.88321
iters: 25  loss: 4.88321
iters: 26  loss: 4.88321
iters: 27  loss: 4.88321
iters: 28  loss: 4.88321
iters: 29  loss: 4.88321
iters: 30  loss: 4.88321
iters: 31  loss: 4.88321
iters: 32  loss: 4.88321
iters: 33  loss: 4.88321
iters: 34  loss: 4.88321
iters: 35  loss: 4.88321
iters: 36  loss: 4.88321
iters: 37  loss: 4.88321
iters: 38  loss: 4.88321
iters: 39  loss: 4.88321
iters: 40  loss: 4.88321
iters: 41  loss: 4.88321
iters: 42  loss: 4.88321
iters: 43  loss: 4.88321
iters: 44  loss: 4.88321
iters: 45  loss: 4.88321
iters: 46  loss: 4.88321
iters: 47  loss: 4.88321
iters: 48  loss: 4.88321
iters: 49  loss: 4.88321
iters: 50  loss: 4.88321
iters: 51  loss: 4.88321
iters: 52  loss: 4.88321
iters: 53  loss: 4.88321
iters: 54  loss: 4.88321
iters: 55  loss: 4.88321
iters: 56  loss: 4.88321
iters: 57  loss: 4.88321
iters: 58  loss: 4.88321
iters: 59  loss: 4.88321
iters: 60  loss: 4.88321
iters: 61  loss: 4.88321
iters: 62  loss: 4.88321
iters: 63  loss: 4.88321
iters: 64  loss: 4.88321
iters: 65  loss: 4.88321
iters: 66  loss: 4.88321
iters: 67  loss: 4.88321
iters: 68  loss: 4.88321
iters: 69  loss: 4.88321
iters: 70  loss: 4.88321
iters: 71  loss: 4.88321
iters: 72  loss: 4.88321
iters: 73  loss: 4.88321
iters: 74  loss: 4.88321
iters: 75  loss: 4.88321
